mp-pt	item-code	treatment-of-code
empagliflozin + metformin	10649L	7498
empagliflozin + metformin	10639Y	5953
empagliflozin + metformin	10639Y	7498
empagliflozin + metformin	10640B	5953
empagliflozin + metformin	10640B	7498
rivastigmine	10538P	13938
trastuzumab	10682F	10212
buprenorphine	10770W	10755
buprenorphine	10770W	10748
buprenorphine	10770W	10752
buprenorphine	10756D	10755
buprenorphine	10756D	10748
buprenorphine	10756D	10752
buprenorphine	10755C	10755
buprenorphine	10755C	10748
buprenorphine	10755C	10752
buprenorphine	10746N	10755
buprenorphine	10746N	10748
buprenorphine	10746N	10752
oxycodone + naloxone	10776E	10755
oxycodone + naloxone	10776E	10748
oxycodone + naloxone	10776E	10752
oxycodone + naloxone	10757E	10755
oxycodone + naloxone	10757E	10748
oxycodone + naloxone	10757E	10752
oxycodone + naloxone	10758F	10755
oxycodone + naloxone	10758F	10748
oxycodone + naloxone	10758F	10752
empagliflozin + metformin	10677Y	5966
empagliflozin + metformin	10677Y	5798
empagliflozin + metformin	10677Y	5657
empagliflozin + metformin	10677Y	7492
empagliflozin + metformin	10626G	5966
empagliflozin + metformin	10626G	5798
empagliflozin + metformin	10626G	5657
empagliflozin + metformin	10626G	7492
empagliflozin + metformin	10627H	5966
empagliflozin + metformin	10627H	5798
empagliflozin + metformin	10627H	5657
empagliflozin + metformin	10627H	7492
empagliflozin + metformin	10633P	5966
empagliflozin + metformin	10633P	5798
empagliflozin + metformin	10633P	5657
empagliflozin + metformin	10633P	7492
sacubitril + valsartan	11123K	11680
sacubitril + valsartan	11131W	11680
sacubitril + valsartan	11122J	11680
cobimetinib	11074W	10033
vemurafenib	11076Y	10157
cobimetinib	11075X	6803
vemurafenib	11081F	6013
methotrexate	11275K	7488
methotrexate	11275K	7518
methotrexate	11283W	7488
methotrexate	11283W	7518
methotrexate	11268C	7488
methotrexate	11268C	7518
methotrexate	11288D	7488
methotrexate	11288D	7518
methotrexate	11295L	7488
methotrexate	11295L	7518
trimethoprim + sulfamethoxazole	10784N	6201
cefalexin	10778G	6188
dicloxacillin	10790X	6188
flucloxacillin	10788T	6169
fusidate	10782L	6133
erythromycin	10780J	6160
brivaracetam	11349H	10251
brivaracetam	11339T	10210
brivaracetam	11328F	10210
brivaracetam	11334M	10210
brivaracetam	11356Q	10210
trastuzumab	10803N	9462
trastuzumab	10798H	9353
betamethasone dipropionate	10802M	6231
betamethasone dipropionate	10801L	6263
betamethasone dipropionate	10813D	6218
betamethasone dipropionate	10800K	6246
betamethasone dipropionate	10824Q	6232
betamethasone dipropionate	10823P	6231
betamethasone dipropionate	10816G	6263
betamethasone dipropionate	10821M	6218
betamethasone dipropionate	10820L	6246
betamethasone dipropionate	10795E	6232
betamethasone valerate	10810Y	6231
betamethasone valerate	10807T	6263
betamethasone valerate	10808W	6218
betamethasone valerate	10794D	6246
betamethasone valerate	10799J	6232
methylprednisolone	10833E	6231
methylprednisolone	10851D	6263
methylprednisolone	10835G	6218
methylprednisolone	10855H	6246
methylprednisolone	10842P	6232
methylprednisolone	10845T	6231
methylprednisolone	10834F	6263
methylprednisolone	10853F	6218
methylprednisolone	10836H	6246
methylprednisolone	10846W	6232
methylprednisolone	10843Q	6231
methylprednisolone	10839L	6263
methylprednisolone	10844R	6218
methylprednisolone	10840M	6246
methylprednisolone	10848Y	6232
methylprednisolone	10830B	6231
methylprednisolone	10852E	6263
methylprednisolone	10852E	6218
methylprednisolone	10838K	6246
methylprednisolone	10856J	6232
mometasone	10792B	6231
mometasone	10818J	6263
mometasone	10815F	6218
mometasone	10809X	6246
mometasone	10827W	6232
mometasone	10791Y	6231
mometasone	10793C	6263
mometasone	10828X	6218
mometasone	10814E	6246
mometasone	10812C	6232
mometasone	10804P	6231
mometasone	10805Q	6263
mometasone	10805Q	6218
mometasone	10826T	6246
mometasone	10819K	6232
paliperidone	11085K	13049
paliperidone	11072R	13049
paliperidone	11094X	13049
paliperidone	11066K	13049
trifluridine + tipiracil	11507P	10309
trifluridine + tipiracil	11507P	8183
trifluridine + tipiracil	11524M	10309
trifluridine + tipiracil	11524M	8183
adalimumab	12401Q	11604
oxycodone + naloxone	11102H	10755
oxycodone + naloxone	11102H	10748
oxycodone + naloxone	11102H	10752
oxycodone + naloxone	11111T	10755
oxycodone + naloxone	11111T	10748
oxycodone + naloxone	11111T	10752
fosaprepitant	11107N	6886
fosaprepitant	11107N	6891
fosaprepitant	11107N	6887
fosaprepitant	11107N	6852
brexpiprazole	11189X	4246
brexpiprazole	11188W	4246
brexpiprazole	11190Y	4246
brexpiprazole	11184P	4246
adalimumab	12329X	11605
adalimumab	12365T	11604
ursodeoxycholic acid	11180K	9032
adalimumab	12326R	11605
adalimumab	12353E	11524
adalimumab	12367X	11524
adalimumab	12415K	11523
fluticasone furoate + vilanterol	11124L	4711
fluticasone furoate + vilanterol	11124L	10121
fluticasone furoate + vilanterol	11129R	4731
guanfacine	11452R	9034
guanfacine	11452R	9031
guanfacine	11452R	8544
guanfacine	11452R	8585
guanfacine	11451Q	9034
guanfacine	11451Q	9031
guanfacine	11451Q	8544
guanfacine	11451Q	8585
guanfacine	11440D	9034
guanfacine	11440D	9031
guanfacine	11440D	8544
guanfacine	11440D	8585
guanfacine	11441E	9034
guanfacine	11441E	9031
guanfacine	11441E	8544
guanfacine	11441E	8585
perampanel	11436X	7815
perampanel	11418Y	7789
perampanel	11429M	7789
perampanel	11428L	7789
perampanel	11409L	7789
dapagliflozin	13106T	13230
saxagliptin + dapagliflozin	11305B	7556
balsalazide	11351K	7621
cladribine	11603Q	10170
cladribine	11603Q	10171
cladribine	11604R	10170
cladribine	11604R	10171
cladribine	11611D	10170
cladribine	11611D	10171
etanercept	11211C	7276
etanercept	11218K	7276
fluticasone furoate + umeclidinium + vilanterol	11379X	12349
empagliflozin	12918X	12477
etanercept	11215G	9481
etanercept	11217J	9481
cabozantinib	11371L	11880
cabozantinib	11369J	11880
cabozantinib	11360X	11880
etanercept	11216H	9156
etanercept	11202N	9156
dulaglutide	11364D	7645
dulaglutide	11364D	5478
dulaglutide	11364D	5469
etanercept	11225T	8887
etanercept	11225T	8955
etanercept	11221N	8887
etanercept	11221N	8955
budesonide	12915R	12607
empagliflozin + linagliptin	11269D	7524
empagliflozin + linagliptin	11303X	7524
budesonide + formoterol (eformoterol)	11273H	7970
budesonide + formoterol (eformoterol)	11301T	7979
budesonide + formoterol (eformoterol)	11301T	10121
stiripentol	12103B	11642
stiripentol	12106E	11642
stiripentol	12107F	11642
stiripentol	12088F	11642
olaparib	11503K	10937
olaparib	11539H	10937
lapatinib	11251E	9360
sunitinib	11253G	13153
sunitinib	11256K	13153
sunitinib	11250D	13153
sunitinib	11266Y	13153
everolimus	11258M	7431
everolimus	11254H	7431
everolimus	11267B	7431
erlotinib	11259N	7446
erlotinib	11260P	7446
erlotinib	11263T	7446
gefitinib	11264W	7447
everolimus	11257L	7432
everolimus	11262R	7432
pazopanib	11252F	11937
pazopanib	11261Q	11937
dapagliflozin	11291G	7528
dapagliflozin + metformin	11300R	7498
dapagliflozin + metformin	11313K	7498
dapagliflozin + metformin	11270E	7498
saxagliptin	11292H	7541
saxagliptin	11311H	7541
saxagliptin + metformin	11285Y	7507
saxagliptin + metformin	11299Q	7507
saxagliptin + metformin	11312J	7507
saxagliptin + dapagliflozin	11286B	7524
empagliflozin + linagliptin	11310G	7556
empagliflozin + linagliptin	11298P	7556
empagliflozin	11281R	7528
empagliflozin	11314L	7528
linagliptin	11280Q	7541
linagliptin + metformin	11274J	7507
linagliptin + metformin	11282T	7507
linagliptin + metformin	11294K	7507
brivaracetam	11327E	10208
brivaracetam	11338R	10208
brivaracetam	11350J	10208
brivaracetam	11357R	10208
brivaracetam	11358T	10330
cabozantinib	11374P	7631
cabozantinib	11368H	7631
cabozantinib	11367G	7631
perfluorohexyloctane	11439C	6172
perfluorohexyloctane	11446K	6172
ertugliflozin + sitagliptin	11561L	7524
ertugliflozin + sitagliptin	11583P	7524
ertugliflozin + sitagliptin	11579K	7556
ertugliflozin + sitagliptin	11578J	7556
lenvatinib	11638M	11168
lenvatinib	11638M	8584
tolvaptan	11600M	8288
ertugliflozin	11577H	7528
ertugliflozin	11585R	7506
ertugliflozin	11585R	7495
ertugliflozin	11570Y	7528
ertugliflozin	11571B	7506
ertugliflozin	11571B	7495
sitagliptin	11572C	7541
sitagliptin	11573D	7541
sitagliptin	11576G	7541
lenvatinib	13252L	13921
lenvatinib	13252L	13972
lenvatinib	13252L	14007
obeticholic acid	12640G	12138
obeticholic acid	12630R	12138
lacosamide	11694L	8770
lacosamide	11694L	8815
encorafenib	11937G	10271
encorafenib	11938H	10271
binimetinib	11948W	10328
binimetinib	11961M	10306
encorafenib	11954E	6013
encorafenib	11949X	6013
tiotropium	11629C	8606
isotretinoin	11716P	5224
everolimus	11607X	8262
everolimus	11608Y	8262
everolimus	11598K	8262
sitagliptin + metformin	11566R	7507
sitagliptin + metformin	11580L	7507
sitagliptin + metformin	11574E	7507
sitagliptin + metformin	11582N	7507
sitagliptin + metformin	11586T	7507
tolvaptan	11593E	8288
tolvaptan	11596H	8288
carmellose sodium	11853W	6172
carmellose sodium	11852T	6172
isotretinoin	11621P	5224
sodium phenylbutyrate	11865L	9993
sodium phenylbutyrate	11865L	9919
rivaroxaban	11633G	4132
rivaroxaban	12197Y	11013
esomeprazole	11692J	8776
esomeprazole	11687D	8776
lansoprazole	11697P	8776
lansoprazole	11669E	8776
rabeprazole	11670F	8776
omeprazole	11683X	8776
omeprazole	11677N	8776
omeprazole	11682W	8776
pantoprazole	11681T	8776
pantoprazole	11678P	8776
sevelamer	11856B	5491
calcium	11726E	4586
imatinib	11764E	9209
imatinib	11786H	9209
galcanezumab	12478R	12064
imatinib	11776T	9209
imatinib	11753N	9209
imatinib	11782D	12536
imatinib	11775R	12536
imatinib	11772N	12536
imatinib	11752M	12536
imatinib	11757T	9243
imatinib	11769K	9243
imatinib	11756R	9243
imatinib	11765F	9243
imatinib	11779Y	9206
imatinib	11785G	9206
imatinib	11777W	9206
imatinib	11762C	9206
imatinib	11763D	9296
imatinib	11758W	9296
imatinib	11781C	9296
imatinib	11770L	9296
imatinib	11771M	9207
imatinib	11789L	9207
imatinib	11783E	9207
imatinib	11780B	9207
imatinib	11784F	9278
imatinib	11788K	9278
imatinib	11787J	13132
imatinib	11778X	13132
tocilizumab	11742B	14150
tocilizumab	11720W	14150
mupirocin	11822F	6647
fingolimod	11818B	10198
fingolimod	11818B	10093
hypromellose	11849P	6172
hypromellose	11842G	6172
fremanezumab	12611R	12064
fremanezumab	12603H	12029
isotretinoin	11921K	5224
protein formula with vitamins and minerals, and low in potassium, phosphorus, calcium, chloride and vitamin A	12191P	11070
levodopa + carbidopa	11919H	10197
galcanezumab	12469G	12029
imatinib	11880G	12542
imatinib	11880G	12525
imatinib	11878E	12542
imatinib	11878E	12525
imatinib	11875B	12542
imatinib	11875B	12525
imatinib	11870R	12542
imatinib	11870R	12525
risperidone	11877D	10020
risperidone	11874Y	10020
risperidone	11872W	10020
risperidone	11869Q	10020
alirocumab	12608N	12010
alirocumab	12608N	12011
alirocumab	12607M	12010
alirocumab	12607M	12011
amoxicillin	11947T	10402
amoxicillin + clavulanic acid	11941L	10405
amoxicillin + clavulanic acid	11933C	10413
cefalexin	11963P	10412
cefalexin	11934D	10410
adalimumab	12328W	11634
adalimumab	12352D	11631
adalimumab	12403T	11635
adalimumab	12403T	11606
adalimumab	12420Q	11718
adalimumab	12334E	11579
adalimumab	12438P	11523
adalimumab	12327T	11634
adalimumab	12437N	11631
adalimumab	12366W	11635
adalimumab	12366W	11606
tolvaptan	12457P	8288
tolvaptan	12462X	8288
semaglutide	12080T	5500
semaglutide	12080T	5478
semaglutide	12080T	5469
semaglutide	12075M	5500
semaglutide	12075M	5478
semaglutide	12075M	5469
ozanimod	12271W	10162
ozanimod	12271W	10172
evolocumab	11986W	12010
evolocumab	11986W	12011
evolocumab	11985T	12010
evolocumab	11985T	12011
evolocumab	11977J	10388
evolocumab	11972D	10388
amoxicillin	11998L	10404
beclometasone + formoterol (eformoterol)	12183F	11057
roxithromycin	12001P	10404
roxithromycin	11993F	10404
apomorphine	12142C	10844
apomorphine	12133N	10844
apomorphine	12137T	10844
amoxicillin	12002Q	10416
budesonide + formoterol (eformoterol)	12042T	10482
budesonide + formoterol (eformoterol)	12041R	10464
trifluridine + tipiracil	12056M	10252
trifluridine + tipiracil	12056M	10310
trifluridine + tipiracil	12033H	10252
trifluridine + tipiracil	12033H	10310
indacaterol + glycopyrronium + mometasone	12295D	12603
budesonide + formoterol (eformoterol)	12029D	10464
terbutaline	12267P	9828
budesonide + formoterol (eformoterol)	12100W	10538
budesonide + formoterol (eformoterol)	12089G	10538
budesonide + formoterol (eformoterol)	12082X	10538
budesonide + formoterol (eformoterol)	12101X	10538
tocilizumab	12090H	14084
tocilizumab	12086D	14084
budesonide + formoterol (eformoterol)	12093L	10538
indacaterol + glycopyrronium + mometasone	12298G	12603
tocilizumab	12084B	14088
tocilizumab	12099T	14088
liquid paraffin + glycerol + tyloxapol + poloxamer-188 + trometamol hydrochloride + trometamol + cetalkonium chloride	12612T	6172
siponimod	12158X	10955
siponimod	12158X	10953
siponimod	12172P	10955
siponimod	12172P	10953
siponimod	12160B	10955
siponimod	12160B	10953
rivaroxaban	12192Q	10992
progesterone	12465C	11673
cariprazine	12652X	4246
cariprazine	12619E	4246
cariprazine	12653Y	4246
cariprazine	12622H	4246
indacaterol + mometasone	12269R	11360
indacaterol + mometasone	12289T	11360
indacaterol + mometasone	12279G	11360
ozanimod	12278F	10162
ozanimod	12278F	10172
fulvestrant	12300J	11473
apomorphine	12319J	10844
apomorphine	12306Q	10844
apomorphine	12320K	10844
adalimumab	12434K	11718
adalimumab	12325Q	11579
adalimumab	12330Y	11529
adalimumab	12436M	11718
adalimumab	12351C	11579
beclometasone + formoterol (eformoterol) + glycopyrronium	12468F	12349
progesterone	12598C	11835
desmopressin	12459R	5342
desmopressin	12459R	5267
desmopressin	12458Q	5266
lacosamide	12633X	12225
lacosamide	12649R	12225
lacosamide	12626M	12092
lacosamide	12634Y	12092
lacosamide	12627N	12092
lacosamide	12658F	12092
lacosamide	12628P	12092
ofatumumab	12642J	10162
ofatumumab	12641H	10172
teriparatide	12670W	12492
teriparatide	12670W	12270
budesonide + glycopyrronium + formoterol (eformoterol)	12672Y	12349
imatinib	12710Y	9278
imatinib	12711B	9278
imatinib	12722N	13132
imatinib	12723P	13132
dapagliflozin	12823X	12477
encorafenib	12814K	12487
encorafenib	12815L	12484
idelalisib	12813J	12480
idelalisib	12812H	12480
dasatinib	12889J	12565
dasatinib	12869H	12565
dasatinib	12843Y	12565
dasatinib	12890K	12565
dasatinib	12859T	12530
dasatinib	12850H	12530
dasatinib	12860W	12530
dasatinib	12903D	12530
nilotinib	12868G	12572
nilotinib	12858R	12563
nilotinib	12885E	12549
dasatinib	12842X	12522
dasatinib	12888H	12522
dasatinib	12857Q	12522
dasatinib	12866E	12522
nilotinib	12867F	12522
imatinib	12928K	12542
imatinib	12928K	12525
imatinib	12912N	12536
imatinib	12920B	9207
imatinib	12923E	9209
imatinib	12919Y	13132
molnupiravir	12910L	13759
molnupiravir	12910L	13824
molnupiravir	12910L	13748
molnupiravir	12910L	13765
fluticasone furoate + umeclidinium + vilanterol	12917W	12603
varenicline	12978C	6885
varenicline	12947K	7483
nirmatrelvir (&) ritonavir	12996B	13759
nirmatrelvir (&) ritonavir	12996B	13821
nirmatrelvir (&) ritonavir	12996B	13748
nirmatrelvir (&) ritonavir	12996B	14187
diroximel fumarate	13059H	13072
diroximel fumarate	13059H	13034
diroximel fumarate	13059H	13090
ozanimod	13251K	14017
paliperidone	13053B	13082
paliperidone	13046P	13082
glatiramer acetate	13110B	7695
glatiramer acetate	13110B	6860
medium chain triglycerides	13108X	6147
medium chain triglycerides	13108X	6191
decitabine + cedazuridine	13081L	13258
polyethylene glycol-400 + propylene glycol	13113E	6172
polyethylene glycol-400 + propylene glycol	13100L	6172
fremanezumab	13115G	12064
fremanezumab	13129B	12029
tepotinib	13171F	13434
tepotinib	13171F	13441
tepotinib	13171F	13435
faricimab	13195L	13406
faricimab	13198P	13402
aflibercept	13150D	13402
aflibercept	13164W	13402
dexamethasone	13168C	13428
ranibizumab	13134G	13402
ranibizumab	13165X	13402
aflibercept	13141P	13387
aflibercept	13141P	13336
aflibercept	13138L	13387
aflibercept	13138L	13336
dexamethasone	13142Q	13387
dexamethasone	13142Q	13336
ranibizumab	13166Y	13387
ranibizumab	13166Y	13336
ranibizumab	13149C	13387
ranibizumab	13149C	13336
aflibercept	13139M	13392
aflibercept	13151E	13392
aflibercept	13167B	13406
aflibercept	13146X	13406
ranibizumab	13157L	13406
ranibizumab	13137K	13406
ranibizumab	13143R	13392
ranibizumab	13143R	13340
ranibizumab	13156K	13392
ranibizumab	13156K	13340
vericiguat	13192H	13561
vericiguat	13178N	13561
vericiguat	13189E	13561
amoxicillin + clavulanic acid	13194K	10413
beclometasone + formoterol (eformoterol)	13205B	11057
beclometasone + formoterol (eformoterol) + glycopyrronium	13200R	12603
tocilizumab	13306H	14104
tocilizumab	13301C	14104
adalimumab	13226D	11634
adalimumab	13208E	11634
adalimumab	13230H	11524
adalimumab	13220T	11524
adalimumab	13221W	11529
adalimumab	13211H	11579
adalimumab	13213K	11579
adalimumab	13223Y	11604
adalimumab	13209F	11604
adalimumab	13227E	11605
adalimumab	13222X	11605
adalimumab	13215M	11635
adalimumab	13215M	11606
adalimumab	13217P	11635
adalimumab	13217P	11606
adalimumab	13225C	11631
adalimumab	13219R	11631
adalimumab	13224B	11718
adalimumab	13218Q	11718
adalimumab	13214L	11523
adalimumab	13216N	11523
ruxolitinib	13241X	13906
ruxolitinib	13241X	13867
ruxolitinib	13241X	13866
ruxolitinib	13235N	13906
ruxolitinib	13235N	13867
ruxolitinib	13235N	13866
lenvatinib	13283D	14042
lenvatinib	13283D	14041
lenvatinib	13283D	14043
lenvatinib	13290L	14042
lenvatinib	13290L	14041
lenvatinib	13290L	14043
budesonide + formoterol (eformoterol)	13258T	7979
budesonide + formoterol (eformoterol)	13258T	10121
asciminib	13259W	13923
asciminib	13268H	13923
finerenone	13335W	14097
finerenone	13316W	14097
mycophenolate	1839T	5653
mycophenolate	1839T	5600
mannitol	2015C	7362
mannitol	2015C	7367
apomorphine	5609F	11385
apomorphine	5610G	11385
azithromycin	5616N	6356
baclofen	5617P	6925
baclofen	5617P	6939
baclofen	5617P	6940
baclofen	5617P	6911
clozapine	5626D	5015
clozapine	5627E	5015
clozapine	5628F	5015
clozapine	5629G	5015
clozapine	5630H	5015
ciclosporin	5631J	6628
ciclosporin	5632K	6643
ciclosporin	5632K	6660
ciclosporin	5632K	13168
ciclosporin	5632K	6631
ciclosporin	5632K	6638
ciclosporin	5633L	6643
ciclosporin	5633L	6660
ciclosporin	5633L	13168
ciclosporin	5633L	6631
ciclosporin	5633L	6638
ciclosporin	5634M	6643
ciclosporin	5634M	6660
ciclosporin	5634M	13168
ciclosporin	5634M	6631
ciclosporin	5634M	6638
ciclosporin	5635N	6643
ciclosporin	5635N	6660
ciclosporin	5635N	13168
ciclosporin	5635N	6631
ciclosporin	5635N	6638
ciclosporin	5636P	6643
ciclosporin	5636P	6660
ciclosporin	5636P	13168
ciclosporin	5636P	6631
ciclosporin	5636P	6638
darbepoetin alfa	5637Q	6294
darbepoetin alfa	5638R	6294
darbepoetin alfa	5639T	6294
darbepoetin alfa	5640W	6294
darbepoetin alfa	5641X	6294
darbepoetin alfa	5642Y	6294
darbepoetin alfa	5643B	6294
darbepoetin alfa	5644C	6294
darbepoetin alfa	5645D	6294
darbepoetin alfa	5646E	6294
darbepoetin alfa	5647F	6294
darbepoetin alfa	5648G	6294
darbepoetin alfa	5649H	6294
darbepoetin alfa	5650J	6294
darbepoetin alfa	5651K	6294
deferasirox	5654N	8328
deferasirox	5654N	8329
deferasirox	5654N	8326
deferasirox	5655P	8328
deferasirox	5655P	8329
deferasirox	5655P	8326
deferasirox	5656Q	8328
deferasirox	5656Q	8329
deferasirox	5656Q	8326
deferiprone	5657R	6448
deferiprone	5657R	6403
deferiprone	5658T	6448
deferiprone	5658T	6403
desferrioxamine	5661Y	6394
desferrioxamine	5662B	6394
pamidronate disodium	5667G	4433
pamidronate disodium	5668H	4433
pamidronate disodium	5669J	4433
pamidronate disodium	5670K	4433
pamidronate disodium	5670K	5218
pamidronate disodium	5670K	5291
dornase alfa	5704F	5740
dornase alfa	5704F	5634
dornase alfa	5704F	5635
doxorubicin hydrochloride (as pegylated liposomal)	5705G	6234
doxorubicin hydrochloride (as pegylated liposomal)	5705G	6274
epoetin alfa	5713Q	6294
epoetin alfa	5714R	6294
epoetin alfa	5715T	6294
epoetin alfa	5716W	6294
epoetin alfa	5717X	6294
epoetin alfa	5718Y	6294
epoetin alfa	5719B	6294
epoetin alfa	5720C	6294
epoetin alfa	5721D	6294
epoetin alfa	5722E	6294
epoetin beta	5724G	6294
epoetin beta	5725H	6294
epoetin beta	5726J	6294
epoetin beta	5727K	6294
epoetin beta	5728L	6294
epoetin beta	5729M	6294
everolimus	5737Y	5795
everolimus	5737Y	5554
everolimus	5738B	5795
everolimus	5738B	5554
everolimus	5739C	5795
everolimus	5739C	5554
everolimus	5740D	5795
everolimus	5740D	5554
filgrastim	5741E	7822
filgrastim	5741E	7843
filgrastim	5741E	6653
filgrastim	5741E	6654
filgrastim	5741E	6679
filgrastim	5741E	6655
filgrastim	5741E	6680
filgrastim	5741E	6621
filgrastim	5741E	6640
filgrastim	5742F	7822
filgrastim	5742F	7843
filgrastim	5742F	6653
filgrastim	5742F	6654
filgrastim	5742F	6679
filgrastim	5742F	6655
filgrastim	5742F	6680
filgrastim	5742F	6621
filgrastim	5742F	6640
filgrastim	5743G	7822
filgrastim	5743G	7843
filgrastim	5743G	6653
filgrastim	5743G	6654
filgrastim	5743G	6679
filgrastim	5743G	6655
filgrastim	5743G	6680
filgrastim	5743G	6621
filgrastim	5743G	6640
filgrastim	5744H	7822
filgrastim	5744H	7843
filgrastim	5744H	6653
filgrastim	5744H	6654
filgrastim	5744H	6679
filgrastim	5744H	6655
filgrastim	5744H	6680
filgrastim	5744H	6621
filgrastim	5744H	6640
ganciclovir	5749N	4972
ganciclovir	5749N	4999
ibandronate	5750P	5291
interferon gamma-1b	5769P	6222
lanreotide	5777C	7025
lanreotide	5777C	4575
lanreotide	5778D	7025
lanreotide	5778D	4575
lanreotide	5779E	7025
lanreotide	5779E	4575
lanthanum	5780F	5530
lanthanum	5781G	5530
lanthanum	5782H	5530
methoxy polyethylene glycol-epoetin beta	5794Y	6294
methoxy polyethylene glycol-epoetin beta	5795B	6294
methoxy polyethylene glycol-epoetin beta	5796C	6294
methoxy polyethylene glycol-epoetin beta	5797D	6294
methoxy polyethylene glycol-epoetin beta	5798E	6294
methoxy polyethylene glycol-epoetin beta	5799F	6294
methoxy polyethylene glycol-epoetin beta	5800G	6294
filgrastim	5829T	7822
filgrastim	5829T	7843
filgrastim	5829T	6653
filgrastim	5829T	6654
filgrastim	5829T	6679
filgrastim	5829T	6655
filgrastim	5829T	6680
filgrastim	5829T	6621
filgrastim	5829T	6640
mycophenolate	9500B	5795
mycophenolate	9500B	5554
mycophenolate	9501C	5653
mycophenolate	9501C	5600
mycophenolate	9502D	5795
mycophenolate	9502D	5554
mycophenolate	9503E	4084
mycophenolate	9503E	4095
mycophenolate	9504F	4084
mycophenolate	9504F	4095
natalizumab	9505G	13718
octreotide	9508K	8165
octreotide	9508K	6390
octreotide	9508K	6369
octreotide	9509L	8165
octreotide	9509L	6390
octreotide	9509L	6369
octreotide	9510M	8165
octreotide	9510M	6390
octreotide	9510M	6369
pegfilgrastim	9514R	7822
pegfilgrastim	9514R	7843
peginterferon alfa-2a	9515T	5004
peginterferon alfa-2a	9516W	5004
rifabutin	9541E	6350
rifabutin	9541E	6356
sevelamer	9546K	5530
sirolimus	9548M	5795
sirolimus	9549N	5795
sirolimus	9550P	5795
tacrolimus	9558C	5569
tacrolimus	9560E	5569
tacrolimus	9561F	5569
thalidomide	9566L	5914
valaciclovir	9568N	5975
valganciclovir	9569P	4989
epoetin lambda	9587N	6294
epoetin lambda	9589Q	6294
epoetin lambda	9591T	6294
epoetin lambda	9594Y	6294
epoetin lambda	9596C	6294
zoledronic acid	9653C	5735
zoledronic acid	9653C	5605
zoledronic acid	9653C	5703
zoledronic acid	9653C	5704
valganciclovir	9655E	4989
tacrolimus	9664P	5569
tacrolimus	9665Q	5569
tacrolimus	9666R	5569
thalidomide	9667T	5914
epoetin lambda	9668W	6294
epoetin lambda	9669X	6294
epoetin lambda	9670Y	6294
levodopa + carbidopa	9743T	10375
sirolimus	9747B	5795
filgrastim	2758E	7822
filgrastim	2758E	7843
filgrastim	2758E	6653
filgrastim	2758E	6654
filgrastim	2758E	6679
filgrastim	2758E	6655
filgrastim	2758E	6680
filgrastim	2758E	6621
filgrastim	2758E	6640
filgrastim	2783L	7822
filgrastim	2783L	7843
filgrastim	2783L	6653
filgrastim	2783L	6654
filgrastim	2783L	6679
filgrastim	2783L	6655
filgrastim	2783L	6680
filgrastim	2783L	6621
filgrastim	2783L	6640
infliximab	10067W	4524
plerixafor	10083Q	4549
alemtuzumab	10228H	7714
alemtuzumab	10232M	6847
sucroferric oxyhydroxide	10233N	5530
anakinra	10264F	5450
octreotide	10543X	8161
octreotide	10543X	5901
octreotide	10543X	5906
octreotide	10533J	8161
octreotide	10533J	5901
octreotide	10533J	5906
octreotide	10550G	8161
octreotide	10550G	5901
octreotide	10550G	5906
lipegfilgrastim	10936N	7822
lipegfilgrastim	10936N	7843
tacrolimus	10859M	5569
tacrolimus	10860N	5569
apomorphine	10950H	11385
apomorphine	11093W	10863
ocrelizumab	11242Q	7699
ocrelizumab	11242Q	7386
baclofen	11126N	6925
baclofen	11126N	6939
baclofen	11126N	6940
baclofen	11126N	6911
baclofen	11195F	7152
baclofen	11195F	7134
baclofen	11195F	7153
baclofen	11195F	7148
deferiprone	11747G	6448
deferiprone	11747G	6403
apomorphine	11477C	10863
infliximab	11400B	12069
clozapine	11433R	5015
apomorphine	11672H	10863
baclofen	11421D	6925
baclofen	11421D	6939
baclofen	11421D	6940
baclofen	11421D	6911
infliximab	11423F	9787
infliximab	11449N	9668
infliximab	11461F	12042
infliximab	11486M	9481
infliximab	11490R	12075
deferasirox	11534C	8328
deferasirox	11534C	8329
deferasirox	11534C	8326
deferasirox	11535D	8328
deferasirox	11535D	8329
deferasirox	11535D	8326
deferasirox	11555E	8328
deferasirox	11555E	8329
deferasirox	11555E	8326
lanreotide	11513Y	10061
infliximab	11514B	9188
infliximab	11605T	8844
infliximab	11605T	8940
sevelamer	11855Y	5530
octreotide	11893Y	10061
tacrolimus	11907Q	5569
levodopa + carbidopa	11913B	10138
cinacalcet	11887P	10067
cinacalcet	11886N	10067
cinacalcet	11885M	10067
methoxsalen	12156T	10985
methoxsalen	12154Q	10988
adalimumab	12355G	14136
adalimumab	12348X	14136
adalimumab	12417M	14136
methoxsalen	12876Q	12546
methoxsalen	12854M	12531
azacitidine	13044M	12986
tocilizumab	13330N	14093
tocilizumab	13299Y	14093
tocilizumab	13304F	14093
tocilizumab	13324G	14164
tocilizumab	13305G	14164
adalimumab	13212J	14136
adalimumab	13228F	14136
ruxolitinib	13243B	13907
ruxolitinib	13232K	13907
ruxolitinib	13238R	13892
ruxolitinib	13238R	13891
ruxolitinib	13245D	13892
ruxolitinib	13245D	13891
adalimumab	13293P	14136
tocilizumab	13339C	14164
etanercept	13294Q	14154
etanercept	13319B	14154
etanercept	13308K	14154
mycophenolate	1837Q	9689
mycophenolate	1837Q	9690
